MASV,INDEX_F_MAMH,list_score,list_similarity,prediction,F_MAMH,F_MAKH,TKET
22278093,13.0,"6.0,5.5,3.5,6.0,8.0","0.7604327273231274,0.7562352828090604,0.7561973093106854,0.7445166160969994,0.7338617066978484",5.78650080408859,MT1009,MT,5.0
22278093,41.0,"6.0,8.0,5.0,5.5,6.0","0.5693804315627491,0.5572923670846738,0.5395660055267608,0.5305019652398731,0.5231223010865088",6.113890934210022,LA1007,MT,8.5
22310851,72.0,"5.5,2.0,4.0,0.0,7.5","0.7746719110216017,0.7295668862033627,0.7118499096287083,0.6822750338350393,0.6798484902390611",3.819251546963141,701142,MT,5.0
22310851,102.0,"7.5,4.0,0.0,5.5,2.0","0.5798176454106779,0.5249964602006678,0.511020291024636,0.4691744852627752,0.46095835667145574",3.908532055290429,501128,MT,6.5
22321294,9.0,"6.5,7.0,7.0,8.0,5.0","0.8505209399716357,0.8152799718993222,0.811112465518883,0.8009374439453248,0.7973135720616393",6.700883190837921,CH1003,MT,7.0
22321294,15.0,"8.5,8.0,7.0,7.5,7.5","0.825599501258673,0.8139473418754974,0.8135772514863984,0.7625373512822752,0.7622902456308084",7.707590390856367,CO2005,MT,8.5
22321294,19.0,"8.0,7.5,7.0,8.5,7.5","0.7751660347613237,0.7611984455410121,0.7405025430720532,0.7190146387141275,0.7121937756264879",7.698579127347127,CO2017,MT,7.5
22321294,24.0,"6.5,7.0,8.0,7.0,5.0","0.8697646385512399,0.8287667523107037,0.8015527718453053,0.7938243881412995,0.7891530190738951",6.7032531680385326,PH1003,MT,6.0
22432864,9.0,"9.0,9.0,9.5,8.5,8.0","0.8505209399716357,0.8505209399716357,0.8470115738508361,0.8152799718993222,0.811112465518883",8.809496473240385,CH1003,MT,7.0
22580717,101.0,"9.64,8.5,8.5,9.5,8.0","0.9070052716662474,0.8313469885969544,0.8148570034692817,0.7664877762469297,0.6441063436249684",8.872980309833029,505008,MT,7.0
22591983,22.0,"6.5,7.5,3.5,5.5,7.5","0.7518201426885993,0.7468789352761178,0.7359289300253474,0.7311476943862956,0.7280526360535484",6.103662439344715,505003,MT,3.5
22591983,34.0,"7.5,6.5,7.5,8.5,3.5","0.799456737136398,0.7886112594253559,0.7823251660548002,0.761684795759078,0.7604103735879991",6.7116693240104635,505005,MT,8.0
22692379,86.0,"9.5,8.5,8.0,8.0,8.5","0.5539217035170947,0.5462776430853118,0.5216838214730515,0.5129750037532135,0.4795299760167308",8.513996502751175,406009,MT,9.0
22694975,29.0,"6.5,7.0,7.0,8.5,8.0","0.6838611751242892,0.6829406107937174,0.6683964429721415,0.6613820336517217,0.6277108891606537",7.3843987466084755,CO3003,MT,6.0
22713972,32.0,"6.5,6.5,6.5,6.0,0.0","0.7540218306130184,0.7416002770232514,0.7416002770232514,0.7337444811757344,0.732769457354194",5.114946295914346,506001,MT,0.0
22715464,22.0,"8.0,8.5,7.0,7.5,8.5","0.7742200534289769,0.7588447849240082,0.7518201426885993,0.7468789352761178,0.7359289300253474",7.8997071236264,505003,MT,5.5
22877716,85.0,"6.5,7.0,7.5,7.5,8.5","0.7127840486048626,0.7048434296471805,0.6734091312523632,0.6734091312523632,0.4963344771095636",7.32554135872085,506012,MT,6.5
22886018,12.0,"8.5,9.5,9.0,5.0,8.5","0.7859489454070531,0.7822512502211261,0.7650705066499988,0.7344555106075612,0.7338617066978484",8.13020511078057,CO2001,MT,8.0
22886018,79.0,"9.5,9.0,5.0,7.5,8.5","0.6904934271022597,0.660958574970403,0.629980212730058,0.6220278508928159,0.6161445676568484",7.93906594550397,CO2021,MT,9.5
22922292,13.0,"6.5,7.5,6.5,7.5,9.0","0.7604327273231274,0.7445166160969994,0.7397103593757179,0.7338617066978484,0.7217868087283315",7.3871815943465,MT1009,MT,6.5
